concurso,ano,bola_1,bola_2,bola_3,bola_4,bola_5,bola_6
2301,2020,18,36,47,52,35,17
2300,2020,37,39,21,9,54,43
2299,2020,3,40,19,60,2,44
2298,2020,13,21,49,41,17,31
2297,2020,20,22,41,59,35,40
2296,2020,29,6,36,59,21,1
2295,2020,28,6,41,26,35,13
2294,2020,9,43,20,41,33,15
2293,2020,1,48,42,10,2,37
2292,2020,18,57,6,33,42,16
2291,2020,37,31,26,12,36,49
2290,2020,60,36,5,57,44,18
2289,2020,6,34,37,38,45,9
2288,2020,35,39,2,26,56,40
2287,2020,29,4,2,41,6,56
2286,2020,42,43,41,9,21,30
2285,2020,12,10,33,7,42,1
2284,2020,46,36,12,10,4,14
2283,2020,24,4,37,43,59,60
2282,2020,30,52,12,27,36,45
2281,2020,35,40,14,55,50,27
2280,2020,50,28,58,29,59,31
2279,2020,28,12,20,5,27,14
2278,2020,34,17,37,43,8,45
2277,2020,23,10,53,60,22,37
2276,2020,49,27,5,18,57,15
2275,2020,25,50,2,53,4,36
2274,2020,8,55,40,11,33,17
2273,2020,58,15,20,16,38,40
2272,2020,5,41,11,49,24,2
2271,2020,6,10,41,52,27,28
2270,2020,41,16,48,14,38,39
2269,2020,55,14,23,29,11,1
2268,2020,4,30,52,23,13,28
2267,2020,48,49,53,20,32,33
2266,2020,23,37,59,10,58,31
2265,2020,50,20,46,23,14,39
2264,2020,29,19,8,2,37,3
2263,2020,43,49,57,33,9,24
2262,2020,7,30,46,23,8,14
2261,2020,23,26,51,27,29,7
2260,2020,37,12,14,34,35,47
2259,2020,54,56,58,20,27,41
2258,2020,26,7,1,23,14,5
2257,2020,18,30,21,31,34,51
2256,2020,9,37,30,10,54,47
2255,2020,20,15,57,49,39,41
2254,2020,47,4,24,44,56,9
2253,2020,32,39,55,33,52,31
2252,2020,46,50,1,17,37,30
2251,2020,58,22,26,15,54,5
2250,2020,39,52,27,57,58,33
2249,2020,4,49,9,31,47,53
2248,2020,20,9,42,29,30,15
2247,2020,42,53,47,1,44,48
2246,2020,9,33,46,24,27,5
2245,2020,33,11,14,34,15,18
2244,2020,11,5,42,3,34,37
2243,2020,14,38,28,18,35,54
2242,2020,24,42,18,5,25,9
2241,2020,56,18,26,13,1,40
2240,2020,25,9,7,10,58,19
2239,2020,27,39,7,31,46,45
2238,2020,57,36,11,58,55,45
2237,2020,60,27,28,20,53,11
2236,2020,7,53,43,20,45,38
2235,2020,14,55,35,30,18,57
2234,2020,47,29,42,4,27,21
2233,2020,45,35,6,41,4,32
2232,2020,31,34,38,47,7,8
2231,2020,4,13,53,40,25,57
2230,2020,39,17,56,60,26,7
2229,2020,6,41,40,29,58,11
2228,2020,19,45,39,9,23,32
2227,2020,9,6,27,32,12,57
2226,2020,2,7,38,30,4,16
2225,2020,1,37,47,44,46,32
2224,2020,23,50,58,32,52,16
2223,2020,49,26,2,56,40,42
2222,2020,14,48,30,29,59,13
2221,2020,23,34,45,57,5,56
2220,2019,38,58,35,3,40,57
2219,2019,57,59,45,8,28,36
2218,2019,16,6,38,22,52,48
2217,2019,16,32,36,30,14,10
2216,2019,24,42,48,10,43,49
2215,2019,21,23,43,1,19,33
2214,2019,18,30,4,10,34,47
2213,2019,7,5,10,60,32,46
2212,2019,51,58,53,52,26,23
2211,2019,27,44,36,54,41,40
2210,2019,11,33,34,25,24,17
2209,2019,32,22,47,28,33,25
2208,2019,30,45,16,49,25,40
2207,2019,43,11,6,55,53,10
2206,2019,42,38,45,6,27,57
2205,2019,21,42,12,57,37,28
2204,2019,32,56,29,28,1,35
2203,2019,34,46,57,50,17,49
2202,2019,43,60,37,38,29,11
